id,name,company,type,address,city,postal,state,lat,lon,profile_url
1463,Lumen Atlanta 2,Lumen,Colocation,"180 Peachtree St., N.W.",Atlanta,30303,Georgia,33.758378,-84.387582,https://www.datacentermap.com/usa/georgia/atlanta/level3-atlanta2/
5284,Lumen Atlanta 6,Lumen,Colocation,874 Dekalb Avenue,Atlanta,30307,Georgia,33.754769,-84.358774,https://www.datacentermap.com/usa/georgia/atlanta/level3-atlanta6/
1192,Verizon Atlanta,Verizon Communications Inc.,Colocation,4000 Highland Parkway SE,Smyrna,30082,Georgia,33.8291464,-84.5031309,https://www.datacentermap.com/usa/georgia/atlanta/xo-atlanta/
5283,Lumen Atlanta 5,Lumen,Colocation,953 Donnelly Ave SW,Atlanta,30310,Georgia,33.728589,-84.418857,https://www.datacentermap.com/usa/georgia/atlanta/level3-atlanta5/
14237,Bolingbroke Technology Campus - Bldg 6,"Bolingbroke Technology Center, LLC",Colocation,US Highway 41 & I-475,Macon,31210,Georgia,32.937419,-83.814401,https://www.datacentermap.com/usa/georgia/atlanta/bolingbroke-technology-campus-bldg-6/
14235,Bolingbroke Technology Campus - Bldg 4,"Bolingbroke Technology Center, LLC",Colocation,US Highway 41 & I-475,Macon,31210,Georgia,32.933939,-83.820542,https://www.datacentermap.com/usa/georgia/atlanta/bolingbroke-technology-campus-bldg-4/
14238,Bolingbroke Technology Campus - Bldg 7,"Bolingbroke Technology Center, LLC",Colocation,US Highway 41 & I-475,Macon,31210,Georgia,32.931761,-83.815458,https://www.datacentermap.com/usa/georgia/atlanta/bolingbroke-technology-campus-bldg-7/
14232,Bolingbroke Technology Campus - Bldg 1,"Bolingbroke Technology Center, LLC",Colocation,US Highway 41 & I-475,Macon,31210,Georgia,32.94043,-83.828284,https://www.datacentermap.com/usa/georgia/atlanta/bolingbroke-technology-campus-bldg-1/
14236,Bolingbroke Technology Campus - Bldg 5,"Bolingbroke Technology Center, LLC",Colocation,US Highway 41 & I-475,Macon,31210,Georgia,32.939672,-83.816901,https://www.datacentermap.com/usa/georgia/atlanta/bolingbroke-technology-campus-bldg-5/
14234,Bolingbroke Technology Campus - Bldg 3,"Bolingbroke Technology Center, LLC",Colocation,US Highway 41 & I-475,Macon,31210,Georgia,32.935866,-83.826482,https://www.datacentermap.com/usa/georgia/atlanta/bolingbroke-technology-campus-bldg-3/
14240,Bolingbroke Technology Campus - Bldg 9,"Bolingbroke Technology Center, LLC",Colocation,US Highway 41 & I-475,Macon,31210,Georgia,32.930256,-83.810763,https://www.datacentermap.com/usa/georgia/atlanta/bolingbroke-technology-campus-bldg-9/
14239,Bolingbroke Technology Campus - Bldg 8,"Bolingbroke Technology Center, LLC",Colocation,US Highway 41 & I-475,Macon,31210,Georgia,32.933191,-83.8122,https://www.datacentermap.com/usa/georgia/atlanta/bolingbroke-technology-campus-bldg-8/
14231,Bolingbroke Technology Campus,"Bolingbroke Technology Center, LLC",Campus,US Highway 41 & I-475,Macon,31210,Georgia,32.9363,-83.82183,https://www.datacentermap.com/usa/georgia/atlanta/bolingbroke-technology-campus/
