id,name,company,type,address,city,postal,state,lat,lon,profile_url
10300,CoreSite Santa Clara (SV5),CoreSite,Colocation,2950 Stender Way,Santa Clara,95054,California,37.375217,-121.970755,https://www.datacentermap.com/usa/california/santa-clara/coresite-santa-clara-sv5/
12183,EdgeConneX Santa Clara - EDCSVC01,EdgeConneX,Colocation,1600 Memorex Dr,Santa Clara,95050,California,37.3635635,-121.9574714,https://www.datacentermap.com/usa/california/santa-clara/edgeconnex-santa-clara-edcsvc01/
14012,StratCap Santa Clara,StratCap Data Centers,Colocation,3205 Bassett St,Santa Clara,95054,California,37.3798125,-121.9499101,https://www.datacentermap.com/usa/california/santa-clara/stratcap-santa-clara/
10596,Amazon AWS SFO - 2305 Mission A,Amazon AWS,Hyperscaler,2305 Mission College Blvd,Santa Clara,95054,California,37.38990437937666,-121.9661507147906,https://www.datacentermap.com/usa/california/santa-clara/amazon-aws-sfo-2305-mission-a/
11528,Vantage CA2 - Building 3,Vantage Data Centers,Colocation,737 Mathew St,Santa Clara,95050,California,37.3643078,-121.9463541,https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-building-3/
3498,IBM SJC01,IBM,Colocation,3105 Alfred St,Santa Clara,95054,California,37.3782765,-121.9581228,https://www.datacentermap.com/usa/california/santa-clara/softlayer-sjc011/
11525,Vantage CA2 -Santa Clara II Campus,Vantage Data Centers,Campus,625-765 Mathew St,Santa Clara,95050,California,37.36413077518475,-121.9468310439461,https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-santa-clara-ii-campus/
5463,Lumen Santa Clara 1,Lumen,Colocation,3045 Raymond Street,Santa Clara,95054,California,37.377137,-121.951892,https://www.datacentermap.com/usa/california/santa-clara/level3-santa-clara1/
11527,Vantage CA2 - Building 2,Vantage Data Centers,Colocation,651 Mathew St,Santa Clara,95050,California,37.3643078,-121.9463541,https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-building-2/
11526,Vantage CA2 - Building 1,Vantage Data Centers,Colocation,765 Mathew St,Santa Clara,95050,California,37.36403374351696,-121.9476977573741,https://www.datacentermap.com/usa/california/santa-clara/vantage-ca2-building-1/
4089,Tata Communications Santa Clara,Tata Communications,Colocation,1100 Space Park Dr,Santa Clara,95054,California,37.3758323,-121.9533126,https://www.datacentermap.com/usa/california/santa-clara/tata-santa-clara/
14343,"Sierra Morena Tower, LLC","Sierra Morena Tower, LLC",Colocation,15040 Skyline Blvd,Redwood City,94062,California,37.410485,-122.3072202,https://www.datacentermap.com/usa/california/palo-alto/sierra-morena-tower/
1489,Equinix SV8,Equinix,Colocation,529 Bryant St,Palo Alto,94301,California,37.445684,-122.161201,https://www.datacentermap.com/usa/california/palo-alto/switchdata-palo-alto/
1762,AT&T Redwood,AT&T Inc.,Colocation,3175 Spring Street,Redwood City,94063,California,37.4804998,-122.2000846,https://www.datacentermap.com/usa/california/palo-alto/att-3175-spring/
