id,name,type,address,city,postal,state,lat,lon,profile_url,meta_power_totalmw,meta_power_ups_redundancy,meta_power_cooling_redundancy,meta_power_standby_redundancy,meta_building_floors,meta_building_floor_load,meta_building_area_building,meta_building_rooftop_access,meta_building_area_whitespace,meta_building_year_operational,meta_capacity_mw_builtout,meta_capacity_buildingsize,meta_capacity_mw_referenced,meta_capacity_whitespace_builtout,meta_capacity_whitespace_referenced,meta_security_cctv,meta_security_staff,meta_security_guards,meta_security_keycard,meta_security_biometric,meta_amenities_meetmeroom,meta_standards_pci,meta_standards_soc2,meta_standards_soc3,meta_standards_hipaa,meta_standards_iso27001,meta_standards_nist80053,meta_standards_usgbc_leed,meta_standards_tier_designed,meta_security_mantrap,meta_security_firesupression,meta_security_firesupression_text,meta_amenities_loadingbay,meta_amenities_officespace,meta_amenities_conferenceroom,meta_standards_soc1,meta_standards_isae3402,meta_building_expandable,meta_building_construction,meta_building_tenancy_text,meta_standards_sas70,meta_standards_ssae16,meta_standards_tier_certified,meta_power_pue,meta_power_billing,meta_power_kw_rack,meta_power_renewable,meta_building_floor_type,meta_building_year_upgraded,meta_building_ceiling_height,meta_security_controlled_perimeter,meta_amenities_wifi,meta_amenities_breakroom,meta_amenities_crashcarts,meta_amenities_parking_text,meta_power_cooling_text,meta_power_standby_text,meta_amenities_loanertools,meta_standards_fisma,meta_standards_iso9001,meta_standards_iso22301,meta_standards_iso50001,meta_building_area_plot,meta_power_kw_area,meta_capacity_mw_live,meta_standards_fedramp,meta_standards_ssae18
7091,Evocative LAX2,Colocation,600 W 7th Street,Los Angeles,90017,California,34.04725468212268,-118.257372379303,https://www.datacentermap.com/usa/california/los-angeles/la2-los-angles-evocative-dc/,27,N+1,N+1,N+1,,,30000,,,,27,30000.0,27,,,1.0,"Yes, 24/7","Yes, 24/7",,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7610,ColoCrossing LA1,Colocation,1200 W 7th Street,Los Angeles,90017,California,34.0511103,-118.2659241,https://www.datacentermap.com/usa/california/los-angeles/colocrossing-la1/,,2N,N+1,,,,,,50000,,,,,50000.0,50000.0,1.0,,"Yes, 24/7",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7794,Cogent Data Center - La Mirada,Colocation,16680 Valley View Avenue,La Mirada,90638,California,33.87975939558614,-118.0267133828582,https://www.datacentermap.com/usa/california/los-angeles/cogent-la-mirada/,,,,,,,,,16500,,2.2,,2.2,16500.0,16500.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.2,,
1560,TELEHOUSE Los Angeles Center,Colocation,626 Wilshire Boulevard,Los Angeles,90017,California,34.048138,-118.256277,https://www.datacentermap.com/usa/california/los-angeles/telehouse-los-angeles/,0.665,N+1,,,,,,,,1998,0.665,,0.665,,,1.0,,"Yes, 24/7",1.0,1.0,1.0,,,,,,,,,,1.0,pre-action sprinklers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Crown Castle Los Angeles LA1,Colocation,624 S Grand Ave,Los Angeles,90017,California,34.051484,-118.265757,https://www.datacentermap.com/usa/california/los-angeles/ix2-networks/,1,,,,,,,,18400,1998,1,,1,18400.0,18400.0,,,"Yes, 24/7",1.0,,1.0,,,,,,,,,,1.0, pre-action water fire suppression system,,,,,,1.0,Purpose-built,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
2553,QuadraNet Los Angeles,Colocation,530 W. 6th St.,Los Angeles,90014,California,34.048282,-118.254504,https://www.datacentermap.com/usa/california/los-angeles/quadranet-los-angeles/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,Centersquare - Los Angeles LAX2,Colocation,3015 Winona Avenue,Burbank,91504,California,34.19985587540762,-118.3438038825989,https://www.datacentermap.com/usa/california/los-angeles/cyxtera-lax2a/,2,2N,2N,N+1,,,90000,,15357,,2,90000.0,2,15357.0,15357.0,1.0,,,1.0,1.0,,2,2,,,1,1,,,1.0,1.0,Pre-action dry pipe sprinkler system,,1.0,1.0,2,2,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1
3298,One Data Center Ontario,Colocation,350 S Milliken Ave,Ontario,91761,California,34.060043,-117.559722,https://www.datacentermap.com/usa/california/los-angeles/ontario-datacenter/,,,N+1,,,,,1.0,,,,,,,,1.0,,"Yes, 24/7",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,Subrigo - 650 South Grand,Colocation,650 South Grand Avenue,Los Angeles,90017,California,34.048721,-118.255266,https://www.datacentermap.com/usa/california/los-angeles/downtown-colo-corporation/,2,,,,,,,1.0,6000,1998,2,,2,6000.0,6000.0,,,"Yes, 24/7",,,1.0,,,,,,,,,,,,,,,,,1.0,,Multi-tenant (data centers only),,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Crown Castle Los Angeles LA2,Colocation,609 W 7th St,Los Angeles,90017,California,34.048282,-118.254504,https://www.datacentermap.com/usa/california/los-angeles/ix2-networks-530-w-6th/,1,,,,,,,,6491,2005,1,,1,6491.0,6491.0,,,"Yes, 24/7",1.0,,1.0,,,,,,,,,,1.0, pre-action water fire suppression system,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
